%
f0Min F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1 crlb
1.00000000 0.00005085 0.00008577 0.00005309 0.00003309 
1.25000000 0.00007647 0.00006533 0.00007728 0.00003232 
1.50000000 0.00004538 0.00008210 0.00004458 0.00003520 
1.75000000 0.00006245 0.00008369 0.00006265 0.00004318 
2.00000000 0.00004398 0.00006907 0.00004453 0.00003037 
2.25000000 0.00004181 0.00006986 0.00004119 0.00003079 
2.50000000 0.00003976 0.00006972 0.00003941 0.00003075 
2.75000000 0.00005800 0.00006802 0.00005813 0.00003117 
3.00000000 0.00004714 0.00009556 0.00004697 0.00003180 
3.25000000 0.00004444 0.00007560 0.00004459 0.00003052 
3.50000000 0.00004201 0.00007821 0.00004207 0.00003135 
3.75000000 0.00005894 0.00008972 0.00005883 0.00003181 
4.00000000 0.00004567 0.00007231 0.00004079 0.00002985 
4.25000000 0.00004264 0.00007945 0.00004261 0.00003080 
4.50000000 0.00004644 0.00007882 0.00004633 0.00003001 
4.75000000 0.00004742 0.00007166 0.00004779 0.00003027 
5.00000000 0.00004111 0.00007963 0.00004114 0.00002997 
5.25000000 0.00004081 0.00017850 0.00004085 0.00002996 
5.50000000 0.00005993 0.00008343 0.00005991 0.00003021 
5.75000000 0.00004302 0.00007775 0.00004306 0.00003005 
6.00000000 0.00005401 0.00008504 0.00005393 0.00003046 
6.25000000 0.00003855 0.00007075 0.00003877 0.00002979 
6.50000000 0.00004827 0.00007629 0.00004857 0.00002986 
6.75000000 0.00003986 0.00007839 0.00004224 0.00002995 
7.00000000 0.00004621 0.00008709 0.00004623 0.00003001 
7.25000000 0.00003740 0.00007538 0.00003709 0.00002988 
7.50000000 0.00005466 0.00007760 0.00005459 0.00002987 
7.75000000 0.00005516 0.00007913 0.00005527 0.00002964 
8.00000000 0.00004528 0.00007874 0.00004522 0.00002969 
