%
f0Min F0-AR-ML-E F0-AR-ML-A F0-AR-ML-A1 crlb
1.00000000 0.00001624 0.00006259 0.00002628 0.00000995 
1.25000000 0.00002185 0.00007298 0.00003027 0.00000988 
1.50000000 0.00002184 0.00007165 0.00002279 0.00000994 
1.75000000 0.00001675 0.00006663 0.00001916 0.00000968 
2.00000000 0.00001472 0.00008157 0.00002025 0.00001011 
2.25000000 0.00001720 0.00008061 0.00001831 0.00000952 
2.50000000 0.00001439 0.00007450 0.00001815 0.00000975 
2.75000000 0.00002119 0.00006454 0.00002204 0.00000962 
3.00000000 0.00001676 0.00006006 0.00001760 0.00000974 
3.25000000 0.00001764 0.00007882 0.00001847 0.00001011 
3.50000000 0.00001575 0.00007134 0.00001605 0.00000976 
3.75000000 0.00001896 0.00009043 0.00001937 0.00000954 
4.00000000 0.00001592 0.00007208 0.00001721 0.00000971 
4.25000000 0.00001961 0.00009141 0.00001993 0.00001005 
4.50000000 0.00001373 0.00007893 0.00001394 0.00000957 
4.75000000 0.00001488 0.00007405 0.00001502 0.00000944 
5.00000000 0.00001384 0.00007890 0.00001418 0.00000958 
5.25000000 0.00001438 0.00009205 0.00001534 0.00000963 
5.50000000 0.00001374 0.00007195 0.00001408 0.00000944 
5.75000000 0.00001418 0.00007769 0.00001415 0.00000952 
6.00000000 0.00001528 0.00005879 0.00001561 0.00000953 
6.25000000 0.00001451 0.00007016 0.00001484 0.00000944 
6.50000000 0.00001435 0.00006985 0.00001483 0.00000952 
6.75000000 0.00001249 0.00006733 0.00001250 0.00000950 
7.00000000 0.00001606 0.00006370 0.00001599 0.00000941 
7.25000000 0.00001483 0.00006117 0.00001490 0.00000938 
7.50000000 0.00001212 0.00006739 0.00001208 0.00000927 
7.75000000 0.00001411 0.00005307 0.00001418 0.00000946 
8.00000000 0.00001923 0.00007821 0.00001919 0.00000944 
