%
freq per preWhitenedPer modelledPsd
1031.25000 -64.08087 -76.64842 -75.17899 
1039.06250 -68.57403 -81.04480 -75.27578 
1046.87500 -76.54764 -88.92215 -75.37204 
1054.68750 -75.83395 -88.11271 -75.46779 
1062.50000 -70.41190 -82.59543 -75.56301 
1070.31250 -68.75485 -80.84366 -75.65773 
1078.12500 -69.73655 -81.73115 -75.75195 
1085.93750 -73.74031 -85.64120 -75.84566 
1093.75000 -78.60534 -90.41301 -75.93887 
1101.56250 -73.43406 -85.14901 -76.03160 
1109.37500 -70.91882 -82.54153 -76.12383 
1117.18750 -72.27524 -83.80620 -76.21558 
1125.00000 -79.86741 -91.30710 -76.30686 
1132.81250 -74.21912 -85.56802 -76.39765 
1140.62500 -67.46742 -78.72599 -76.48798 
1148.43750 -65.08876 -76.25747 -76.57783 
1156.25000 -65.92091 -77.00023 -76.66723 
1164.06250 -72.84816 -83.83854 -76.75616 
1171.87500 -71.64050 -82.54241 -76.84464 
1179.68750 -61.02511 -71.83899 -76.93266 
1187.50000 -56.27308 -66.99939 -77.02024 
1195.31250 -53.67221 -64.31139 -77.10737 
1203.12500 -52.45032 -63.00282 -77.19405 
1210.93750 -52.35789 -62.82413 -77.28030 
1218.75000 -53.35691 -63.73734 -52.36924 
1226.56250 -55.57871 -65.87376 -77.45150 
1234.37500 -59.41040 -69.62049 -77.53645 
1242.18750 -65.63052 -75.75609 -77.62098 
1250.00000 -70.14044 -80.18190 -77.70509 
1257.81250 -66.77638 -76.73415 -77.78878 
1265.62500 -65.85479 -75.72929 -77.87205 
1273.43750 -67.81568 -77.60731 -77.95491 
1281.25000 -73.43564 -83.14483 -78.03736 
1289.06250 -79.88155 -89.50869 -78.11940 
1296.87500 -73.01631 -82.56181 -78.20105 
1304.68750 -70.81791 -80.28217 -78.28229 
1312.50000 -71.95245 -81.33587 -78.36313 
1320.31250 -76.77165 -86.07461 -78.44358 
1328.12500 -83.59120 -92.81411 -78.52364 
1335.93750 -76.27413 -85.41737 -78.60331 
1343.75000 -73.37754 -82.44149 -78.68259 
1351.56250 -73.77244 -82.75749 -78.76149 
1359.37500 -77.27144 -86.17797 -78.84001 
1367.18750 -81.20948 -90.03787 -78.91815 
1375.00000 -75.57460 -84.32523 -78.99592 
1382.81250 -71.62368 -80.29692 -79.07331 
1390.62500 -69.79559 -78.39180 -79.15033 
1398.43750 -69.28988 -77.80944 -79.22699 
1406.25000 -69.70726 -78.15053 -79.30328 
1414.06250 -70.87039 -79.23773 -79.37921 
1421.87500 -72.81135 -81.10312 -68.52773 
1429.68750 -75.79060 -84.00716 -79.52998 
1437.50000 -79.99583 -88.13754 -79.60484 
1445.31250 -82.63599 -90.70320 -79.67934 
1453.12500 -80.78674 -88.77980 -79.75349 
1460.93750 -79.71582 -87.63507 -79.82730 
1468.75000 -81.01857 -88.86436 -79.90076 
1476.56250 -85.79137 -93.56405 -79.97387 
1484.37500 -94.75529 -102.45519 -80.04664 
1492.18750 -86.15534 -93.78281 -80.11908 
1500.00000 -82.97561 -90.53098 -80.19118 
1507.81250 -83.37970 -90.86331 -80.26294 
1515.62500 -85.78410 -93.19628 -80.33437 
1523.43750 -84.17701 -91.51809 -80.40547 
1531.25000 -80.20891 -87.47921 -80.47625 
